Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Languages,Clicks,Impressions,Engagement_Score,Customer_Segment,Dates
506,NexGen Systems,Email,Men 25-34,15 days,Instagram,0.08,19426.00,2.5,Houston,English,467,2450,3,Tech Enthusiasts,2021-05-21
507,TechCorp,Email,Women 25-34,30 days,YouTube,0.14,17183.00,3.6,Los Angeles,German,308,7984,2,Health & Wellness,2021-05-22
508,Alpha Innovations,Display,Women 25-34,60 days,Website,0.14,15890.00,2.6,Houston,Spanish,374,2539,7,Health & Wellness,2021-05-23
509,DataTech Solutions,Social Media,Men 25-34,30 days,Google Ads,0.11,6341.00,7.1,Miami,German,676,5334,9,Fashionistas,2021-05-24
510,NexGen Systems,Display,Women 25-34,45 days,Email,0.12,16615.00,7.9,Los Angeles,English,301,3473,5,Health & Wellness,2021-05-25
511,TechCorp,Email,Women 35-44,45 days,Website,0.07,18822.00,7.8,New York,Mandarin,471,9465,10,Tech Enthusiasts,2021-05-26
512,DataTech Solutions,Search,All Ages,30 days,Facebook,0.07,15713.00,7.7,Los Angeles,English,167,5803,9,Foodies,2021-05-27
513,TechCorp,Influencer,Women 25-34,60 days,Google Ads,0.12,19754.00,3.9,New York,Spanish,397,9308,7,Health & Wellness,2021-05-28
514,Alpha Innovations,Social Media,Men 18-24,30 days,Facebook,0.03,16073.00,6,Miami,French,260,7086,9,Fashionistas,2021-05-29
515,NexGen Systems,Search,Men 25-34,45 days,Instagram,0.13,13716.00,6,Houston,Spanish,676,6304,9,Foodies,2021-05-30
516,NexGen Systems,Display,All Ages,15 days,Facebook,0.08,12341.00,5,Houston,English,508,6150,3,Health & Wellness,2021-05-31
517,Innovate Industries,Social Media,Men 18-24,15 days,YouTube,0.02,13702.00,4.9,Miami,Mandarin,353,8771,9,Foodies,2021-06-01
518,Alpha Innovations,Social Media,Women 25-34,45 days,Facebook,0.04,18224.00,7.3,Los Angeles,English,682,4781,10,Fashionistas,2021-06-02
519,Alpha Innovations,Influencer,Men 25-34,15 days,Website,0.05,15530.00,6.8,Chicago,English,830,7660,8,Outdoor Adventurers,2021-06-03
520,DataTech Solutions,Display,Men 18-24,30 days,Website,0.14,19102.00,5,Miami,Mandarin,736,2811,5,Outdoor Adventurers,2021-06-04
521,NexGen Systems,Search,Women 35-44,60 days,Instagram,0.14,17123.00,3.3,Chicago,French,955,5738,7,Foodies,2021-06-05
522,NexGen Systems,Search,Women 25-34,15 days,YouTube,0.02,8103.00,5.9,New York,Spanish,262,9494,10,Outdoor Adventurers,2021-06-06
523,NexGen Systems,Display,Men 25-34,60 days,Facebook,0.12,6787.00,7.2,Los Angeles,English,776,3071,6,Foodies,2021-06-07
524,Innovate Industries,Social Media,Men 18-24,30 days,Instagram,0.09,18464.00,7.9,Los Angeles,English,883,7234,4,Tech Enthusiasts,2021-06-08
525,Innovate Industries,Search,Women 35-44,30 days,YouTube,0.08,5214.00,5.4,New York,Spanish,986,5047,3,Fashionistas,2021-06-09
526,TechCorp,Influencer,Men 18-24,30 days,Email,0.07,17678.00,4.8,Houston,German,215,6302,10,Foodies,2021-06-10
527,NexGen Systems,Social Media,All Ages,30 days,Website,0.14,10365.00,3.2,Miami,Spanish,965,1167,8,Outdoor Adventurers,2021-06-11
528,NexGen Systems,Email,All Ages,60 days,Instagram,0.09,11139.00,7.5,Los Angeles,Mandarin,640,1144,7,Tech Enthusiasts,2021-06-12
529,DataTech Solutions,Search,Men 18-24,45 days,Instagram,0.1,18407.00,2.2,Chicago,German,388,2697,10,Tech Enthusiasts,2021-06-13
530,TechCorp,Influencer,Men 18-24,60 days,Instagram,0.07,10863.00,5.2,Miami,Spanish,494,5354,10,Foodies,2021-06-14
531,Alpha Innovations,Search,Women 35-44,45 days,Instagram,0.09,11535.00,6.4,Chicago,Spanish,432,8524,6,Tech Enthusiasts,2021-06-15
532,Alpha Innovations,Search,Men 18-24,15 days,YouTube,0.03,16117.00,6.7,Los Angeles,Spanish,237,7706,3,Tech Enthusiasts,2021-06-16
533,TechCorp,Email,Men 18-24,60 days,Facebook,0.05,7641.00,5.1,Los Angeles,French,247,6859,10,Outdoor Adventurers,2021-06-17
534,Alpha Innovations,Search,Men 18-24,15 days,Website,0.07,19122.00,5.9,Los Angeles,French,849,4127,8,Fashionistas,2021-06-18
535,Alpha Innovations,Influencer,Men 18-24,45 days,Google Ads,0.07,19905.00,3.3,New York,French,421,9220,1,Health & Wellness,2021-06-19
536,NexGen Systems,Search,Men 18-24,30 days,YouTube,0.03,9710.00,6.1,Chicago,French,775,1378,6,Foodies,2021-06-20
537,DataTech Solutions,Display,Women 35-44,30 days,Facebook,0.06,11135.00,5.6,Los Angeles,German,158,9372,5,Tech Enthusiasts,2021-06-21
538,Innovate Industries,Search,All Ages,15 days,YouTube,0.02,18860.00,5.7,Miami,Spanish,581,1624,9,Health & Wellness,2021-06-22
539,NexGen Systems,Influencer,Women 35-44,60 days,Google Ads,0.13,9642.00,5,Los Angeles,French,745,1803,8,Outdoor Adventurers,2021-06-23
540,NexGen Systems,Social Media,Men 25-34,15 days,Instagram,0.07,9225.00,7.9,Los Angeles,Mandarin,837,1454,4,Tech Enthusiasts,2021-06-24
541,DataTech Solutions,Search,Women 25-34,30 days,Google Ads,0.07,12493.00,6.3,Chicago,Mandarin,265,1716,1,Foodies,2021-06-25
542,DataTech Solutions,Email,Women 25-34,45 days,Email,0.12,14740.00,2.3,Chicago,Spanish,941,4716,2,Fashionistas,2021-06-26
543,TechCorp,Search,All Ages,60 days,YouTube,0.05,17300.00,6.5,New York,German,517,4930,1,Health & Wellness,2021-06-27
544,TechCorp,Email,Men 25-34,30 days,Instagram,0.13,7787.00,2.8,New York,Spanish,403,9196,5,Health & Wellness,2021-06-28
545,NexGen Systems,Display,Men 18-24,60 days,Email,0.06,7865.00,3.6,Houston,Mandarin,905,8601,5,Foodies,2021-06-29
546,TechCorp,Email,Men 18-24,15 days,YouTube,0.13,14184.00,2,New York,Mandarin,761,3562,4,Health & Wellness,2021-06-30
547,NexGen Systems,Influencer,Men 18-24,60 days,Google Ads,0.07,10088.00,5.8,New York,Mandarin,921,9943,10,Fashionistas,2021-07-01
548,NexGen Systems,Search,All Ages,15 days,Instagram,0.14,6341.00,7.9,New York,French,457,2621,3,Foodies,2021-07-02
549,TechCorp,Influencer,Women 35-44,30 days,Email,0.11,16691.00,6.1,Miami,English,430,5430,7,Tech Enthusiasts,2021-07-03
550,NexGen Systems,Email,Women 35-44,15 days,Website,0.05,5279.00,7.3,Los Angeles,English,973,1947,2,Outdoor Adventurers,2021-07-04
551,NexGen Systems,Email,Women 25-34,30 days,Website,0.14,13778.00,3.6,Houston,Mandarin,129,2538,4,Tech Enthusiasts,2021-07-05
552,Alpha Innovations,Influencer,Men 25-34,60 days,Email,0.1,16094.00,5.7,Chicago,Spanish,698,2868,3,Fashionistas,2021-07-06
553,Innovate Industries,Email,Women 25-34,30 days,Email,0.04,16512.00,2.8,Chicago,English,588,4161,10,Fashionistas,2021-07-07
554,Alpha Innovations,Email,Men 18-24,30 days,Google Ads,0.05,7247.00,7.9,Chicago,German,141,6235,4,Fashionistas,2021-07-08
555,NexGen Systems,Influencer,All Ages,15 days,Email,0.02,5244.00,5.3,Chicago,German,416,3785,9,Tech Enthusiasts,2021-07-09
556,Innovate Industries,Email,Women 35-44,30 days,Facebook,0.15,14082.00,7.4,Miami,Spanish,655,9066,2,Outdoor Adventurers,2021-07-10
557,TechCorp,Social Media,Men 18-24,60 days,Email,0.11,17786.00,5.9,Los Angeles,English,557,9866,5,Foodies,2021-07-11
558,Innovate Industries,Influencer,Men 18-24,15 days,Facebook,0.08,19714.00,3.6,Miami,Spanish,411,2211,3,Foodies,2021-07-12
559,Innovate Industries,Display,Men 25-34,60 days,Instagram,0.03,6582.00,3.1,Chicago,German,750,5588,7,Health & Wellness,2021-07-13
560,Innovate Industries,Email,All Ages,60 days,Google Ads,0.1,16574.00,4.8,Miami,English,260,2996,10,Fashionistas,2021-07-14
561,TechCorp,Email,All Ages,60 days,Email,0.1,18996.00,3.1,Los Angeles,Spanish,890,8676,4,Health & Wellness,2021-07-15
562,Alpha Innovations,Influencer,Women 25-34,30 days,Instagram,0.12,13107.00,4.9,Miami,German,340,6394,2,Tech Enthusiasts,2021-07-16
563,Alpha Innovations,Influencer,Men 25-34,15 days,Website,0.09,5801.00,7.4,New York,French,714,2288,2,Health & Wellness,2021-07-17
564,TechCorp,Influencer,Men 18-24,15 days,Google Ads,0.09,8660.00,6.4,Los Angeles,Spanish,172,9548,2,Outdoor Adventurers,2021-07-18
565,Innovate Industries,Display,Women 35-44,30 days,Website,0.13,9283.00,2.2,Houston,Spanish,363,6711,1,Health & Wellness,2021-07-19
566,Alpha Innovations,Influencer,All Ages,60 days,Instagram,0.1,12002.00,6.5,Houston,German,876,6554,7,Health & Wellness,2021-07-20
567,NexGen Systems,Display,All Ages,15 days,Website,0.08,12929.00,4.6,Los Angeles,Spanish,605,4566,7,Tech Enthusiasts,2021-07-21
568,TechCorp,Search,Men 25-34,45 days,Google Ads,0.12,16013.00,4.8,Chicago,German,727,1353,9,Outdoor Adventurers,2021-07-22
569,Alpha Innovations,Search,All Ages,15 days,Google Ads,0.08,6640.00,4.5,Miami,English,508,2900,6,Outdoor Adventurers,2021-07-23
570,DataTech Solutions,Email,Men 25-34,60 days,Instagram,0.05,12075.00,2.8,Houston,Mandarin,261,8859,3,Outdoor Adventurers,2021-07-24
571,Alpha Innovations,Email,All Ages,60 days,Google Ads,0.12,5236.00,6.4,Miami,Spanish,444,4623,10,Foodies,2021-07-25
572,NexGen Systems,Social Media,All Ages,45 days,Google Ads,0.13,18195.00,6.4,Chicago,English,629,2473,10,Health & Wellness,2021-07-26
573,DataTech Solutions,Social Media,Women 35-44,60 days,YouTube,0.06,12557.00,6.8,Houston,English,348,5800,6,Health & Wellness,2021-07-27
574,TechCorp,Social Media,Women 35-44,30 days,Email,0.04,12024.00,7,Miami,English,971,7660,3,Health & Wellness,2021-07-28
575,NexGen Systems,Influencer,Men 25-34,15 days,Facebook,0.08,13831.00,5.8,Los Angeles,French,133,2508,6,Fashionistas,2021-07-29
576,NexGen Systems,Display,All Ages,15 days,Instagram,0.04,14207.00,2.9,Houston,English,952,7391,10,Outdoor Adventurers,2021-07-30
577,Innovate Industries,Email,Men 18-24,45 days,Instagram,0.14,10698.00,5.5,Houston,Spanish,593,8788,8,Tech Enthusiasts,2021-07-31
578,NexGen Systems,Display,All Ages,60 days,Google Ads,0.02,7321.00,2.2,Chicago,English,897,5065,9,Health & Wellness,2021-08-01
579,TechCorp,Email,Women 25-34,30 days,Email,0.12,5070.00,3.7,New York,German,934,3769,4,Tech Enthusiasts,2021-08-02
580,Innovate Industries,Email,Men 25-34,45 days,Website,0.09,8417.00,7.5,Miami,English,594,8142,3,Health & Wellness,2021-08-03
581,DataTech Solutions,Social Media,Men 18-24,15 days,Email,0.09,12149.00,7.7,Chicago,Mandarin,155,1790,2,Outdoor Adventurers,2021-08-04
582,Alpha Innovations,Influencer,Men 25-34,60 days,Instagram,0.05,18733.00,2.6,Los Angeles,French,213,4768,3,Outdoor Adventurers,2021-08-05
583,TechCorp,Influencer,Men 25-34,45 days,Google Ads,0.13,13282.00,5,Los Angeles,English,433,6849,9,Health & Wellness,2021-08-06
584,TechCorp,Search,Women 25-34,15 days,Website,0.07,5027.00,6,Los Angeles,Mandarin,956,3644,9,Tech Enthusiasts,2021-08-07
585,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,0.14,14540.00,6,Chicago,Spanish,454,4981,6,Tech Enthusiasts,2021-08-08
586,DataTech Solutions,Search,All Ages,15 days,Email,0.08,10905.00,4,Los Angeles,English,392,8196,1,Health & Wellness,2021-08-09
587,DataTech Solutions,Display,Women 25-34,60 days,Website,0.06,16970.00,7.1,Houston,English,305,6899,3,Health & Wellness,2021-08-10
588,DataTech Solutions,Email,Men 25-34,60 days,Google Ads,0.05,14910.00,5.3,Chicago,Spanish,187,8782,2,Outdoor Adventurers,2021-08-11
589,TechCorp,Email,All Ages,45 days,YouTube,0.09,12528.00,6.4,Houston,Mandarin,607,6861,7,Foodies,2021-08-12
590,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.04,18796.00,6.2,New York,German,530,3022,5,Fashionistas,2021-08-13
591,DataTech Solutions,Social Media,All Ages,60 days,Email,0.09,14635.00,2.7,Miami,French,177,2151,10,Foodies,2021-08-14
592,DataTech Solutions,Display,Men 25-34,60 days,YouTube,0.02,8562.00,7.8,Houston,German,117,9814,3,Tech Enthusiasts,2021-08-15
593,TechCorp,Social Media,Men 25-34,60 days,Instagram,0.08,18690.00,5.5,Miami,Mandarin,598,5556,8,Outdoor Adventurers,2021-08-16
594,Innovate Industries,Email,Women 35-44,30 days,Website,0.12,11229.00,7,Los Angeles,French,145,1535,8,Fashionistas,2021-08-17
595,Alpha Innovations,Influencer,All Ages,45 days,YouTube,0.03,8633.00,4.5,Los Angeles,French,819,5487,8,Fashionistas,2021-08-18
596,DataTech Solutions,Display,Women 35-44,30 days,Instagram,0.02,11529.00,2.4,Los Angeles,Mandarin,881,2105,4,Outdoor Adventurers,2021-08-19
597,Alpha Innovations,Influencer,All Ages,30 days,Website,0.02,13763.00,3.9,New York,English,626,5983,3,Outdoor Adventurers,2021-08-20
598,TechCorp,Social Media,All Ages,30 days,Google Ads,0.08,13348.00,5.1,Miami,French,303,5330,7,Tech Enthusiasts,2021-08-21
599,TechCorp,Influencer,Men 18-24,45 days,Email,0.1,17808.00,5.4,Chicago,Mandarin,667,8500,6,Tech Enthusiasts,2021-08-22
600,DataTech Solutions,Influencer,Men 18-24,30 days,YouTube,0.12,5680.00,6,Chicago,English,209,8713,7,Fashionistas,2021-08-23
601,Innovate Industries,Social Media,Women 25-34,45 days,Email,0.04,9893.00,6.7,Los Angeles,French,425,3307,5,Tech Enthusiasts,2021-08-24
602,TechCorp,Social Media,Men 25-34,30 days,Google Ads,0.02,18741.00,2,Miami,German,438,6714,7,Tech Enthusiasts,2021-08-25
603,TechCorp,Social Media,Men 18-24,45 days,Facebook,0.09,13305.00,2.9,Houston,English,722,6088,9,Outdoor Adventurers,2021-08-26
604,NexGen Systems,Social Media,Men 25-34,45 days,Facebook,0.04,16791.00,6.5,New York,French,803,9693,5,Foodies,2021-08-27
605,TechCorp,Search,Men 18-24,15 days,Google Ads,0.01,7349.00,7.8,Los Angeles,English,434,1064,2,Health & Wellness,2021-08-28
606,DataTech Solutions,Email,All Ages,30 days,Website,0.02,15672.00,3.2,New York,German,609,1193,7,Fashionistas,2021-08-29
607,NexGen Systems,Search,All Ages,60 days,Instagram,0.02,15366.00,7,Miami,English,866,5856,9,Health & Wellness,2021-08-30
608,TechCorp,Search,Men 25-34,30 days,Website,0.06,8497.00,6.7,Chicago,French,574,1948,10,Fashionistas,2021-08-31
609,TechCorp,Social Media,Women 35-44,15 days,Email,0.07,10770.00,5.9,Miami,Mandarin,954,6924,4,Tech Enthusiasts,2021-09-01
610,DataTech Solutions,Display,All Ages,15 days,Facebook,0.06,5325.00,5,Chicago,French,960,2859,8,Health & Wellness,2021-09-02
611,Alpha Innovations,Email,Women 25-34,45 days,Google Ads,0.04,8772.00,6.9,Los Angeles,Spanish,584,7334,2,Health & Wellness,2021-09-03
612,Alpha Innovations,Email,Men 18-24,15 days,Website,0.11,10653.00,4,Miami,Spanish,670,2367,2,Fashionistas,2021-09-04
613,TechCorp,Social Media,All Ages,45 days,YouTube,0.02,9676.00,7.5,New York,German,575,9944,2,Outdoor Adventurers,2021-09-05
614,Alpha Innovations,Display,Men 18-24,45 days,Instagram,0.13,11347.00,3.1,Houston,Spanish,430,7632,2,Tech Enthusiasts,2021-09-06
615,DataTech Solutions,Influencer,Men 18-24,15 days,Instagram,0.02,9661.00,6.7,New York,German,690,4424,3,Tech Enthusiasts,2021-09-07
616,TechCorp,Influencer,Men 25-34,15 days,Facebook,0.05,17881.00,6,Los Angeles,English,289,7005,8,Foodies,2021-09-08
617,NexGen Systems,Search,Women 25-34,30 days,YouTube,0.06,17440.00,6.7,Miami,English,140,7641,8,Foodies,2021-09-09
618,TechCorp,Display,Men 18-24,30 days,Website,0.08,7053.00,7.1,Chicago,French,492,1731,8,Tech Enthusiasts,2021-09-10
619,TechCorp,Influencer,All Ages,45 days,Google Ads,0.14,7803.00,6.6,New York,English,533,5832,2,Foodies,2021-09-11
620,Alpha Innovations,Social Media,Women 35-44,45 days,Instagram,0.11,6994.00,3.9,Miami,Spanish,816,8407,8,Tech Enthusiasts,2021-09-12
621,NexGen Systems,Influencer,Women 25-34,45 days,Instagram,0.14,18943.00,7,Los Angeles,German,607,6262,9,Tech Enthusiasts,2021-09-13
622,TechCorp,Email,Women 35-44,15 days,Website,0.11,7562.00,4,Miami,English,670,8428,8,Tech Enthusiasts,2021-09-14
623,Alpha Innovations,Email,All Ages,15 days,Email,0.09,7740.00,7.5,Chicago,Spanish,899,5144,6,Tech Enthusiasts,2021-09-15
624,Alpha Innovations,Social Media,All Ages,15 days,Facebook,0.11,11783.00,3.1,Miami,Spanish,836,4782,7,Foodies,2021-09-16
625,DataTech Solutions,Social Media,All Ages,15 days,Website,0.02,12132.00,5.3,Houston,Spanish,435,1192,10,Outdoor Adventurers,2021-09-17
626,TechCorp,Search,Men 25-34,30 days,YouTube,0.14,5430.00,3.1,New York,French,214,3572,8,Tech Enthusiasts,2021-09-18
627,Alpha Innovations,Search,All Ages,30 days,Email,0.05,12047.00,6.5,Chicago,Mandarin,441,5779,3,Tech Enthusiasts,2021-09-19
628,NexGen Systems,Social Media,Men 18-24,60 days,Instagram,0.05,15691.00,7.1,Miami,French,238,3959,1,Tech Enthusiasts,2021-09-20
629,NexGen Systems,Email,Women 25-34,45 days,Facebook,0.1,15132.00,5,Miami,Mandarin,129,9551,7,Foodies,2021-09-21
630,Innovate Industries,Email,Women 35-44,15 days,YouTube,0.11,13380.00,6.1,Houston,German,173,4397,3,Outdoor Adventurers,2021-09-22
631,DataTech Solutions,Influencer,All Ages,15 days,YouTube,0.01,5770.00,2.4,Los Angeles,French,308,3307,5,Tech Enthusiasts,2021-09-23
632,NexGen Systems,Influencer,Men 18-24,45 days,Email,0.13,8500.00,2.7,New York,German,712,4849,1,Foodies,2021-09-24
633,TechCorp,Email,Men 25-34,15 days,Google Ads,0.13,18453.00,4.8,Miami,Mandarin,187,5032,10,Fashionistas,2021-09-25
634,NexGen Systems,Social Media,Men 18-24,30 days,Facebook,0.02,19030.00,5.6,Miami,German,825,6146,2,Fashionistas,2021-09-26
635,Alpha Innovations,Search,Men 18-24,60 days,Instagram,0.14,9833.00,2.5,Chicago,Mandarin,131,9105,10,Fashionistas,2021-09-27
636,NexGen Systems,Email,All Ages,45 days,Website,0.04,11581.00,4.3,Miami,French,903,9090,2,Health & Wellness,2021-09-28
637,Alpha Innovations,Search,All Ages,45 days,Google Ads,0.04,12573.00,4.4,Miami,French,483,9896,3,Outdoor Adventurers,2021-09-29
638,Innovate Industries,Search,All Ages,30 days,Google Ads,0.07,9517.00,4.2,Houston,Spanish,794,9710,8,Tech Enthusiasts,2021-09-30
639,TechCorp,Search,Men 18-24,45 days,Facebook,0.12,7672.00,3.6,Houston,French,344,6487,4,Fashionistas,2021-10-01
640,Alpha Innovations,Email,Men 25-34,45 days,Email,0.03,10127.00,7,Miami,German,938,9741,2,Tech Enthusiasts,2021-10-02
641,Innovate Industries,Social Media,All Ages,45 days,Email,0.14,16265.00,4.2,New York,English,588,5299,6,Fashionistas,2021-10-03
642,NexGen Systems,Influencer,All Ages,15 days,Email,0.08,12399.00,3.7,Chicago,French,423,7396,9,Tech Enthusiasts,2021-10-04
643,Innovate Industries,Social Media,Men 18-24,15 days,Google Ads,0.06,10179.00,5.3,Miami,Spanish,102,4930,8,Fashionistas,2021-10-05
644,Alpha Innovations,Social Media,Men 25-34,30 days,YouTube,0.02,18123.00,3.8,Houston,English,307,1468,10,Fashionistas,2021-10-06
645,NexGen Systems,Influencer,Men 25-34,60 days,Email,0.05,5481.00,4.7,Miami,German,496,9383,3,Fashionistas,2021-10-07
646,Innovate Industries,Email,Women 25-34,60 days,Facebook,0.13,18673.00,6,Houston,French,964,3756,5,Foodies,2021-10-08
647,DataTech Solutions,Social Media,Women 25-34,30 days,Google Ads,0.1,16853.00,4.2,Los Angeles,French,174,9853,10,Outdoor Adventurers,2021-10-09
648,NexGen Systems,Influencer,Women 25-34,60 days,Google Ads,0.14,18729.00,2.7,Houston,French,373,6003,2,Foodies,2021-10-10
649,Innovate Industries,Email,Women 35-44,15 days,Facebook,0.09,8832.00,6.6,Miami,German,268,9943,1,Outdoor Adventurers,2021-10-11
650,Innovate Industries,Email,Women 25-34,60 days,Google Ads,0.12,11318.00,4.6,Chicago,Spanish,177,6571,10,Outdoor Adventurers,2021-10-12
651,DataTech Solutions,Display,All Ages,30 days,Facebook,0.08,8396.00,7.5,New York,German,345,5864,7,Fashionistas,2021-10-13
652,NexGen Systems,Display,All Ages,30 days,Email,0.09,16132.00,4.4,Houston,German,205,2828,1,Fashionistas,2021-10-14
653,Innovate Industries,Social Media,Men 18-24,15 days,YouTube,0.11,8972.00,7.8,Houston,English,963,3148,6,Fashionistas,2021-10-15
654,DataTech Solutions,Search,Women 35-44,30 days,Facebook,0.01,6117.00,2.8,Los Angeles,French,754,5592,5,Outdoor Adventurers,2021-10-16
655,DataTech Solutions,Email,All Ages,60 days,YouTube,0.08,8036.00,4.1,Houston,French,304,8555,6,Tech Enthusiasts,2021-10-17
656,Innovate Industries,Influencer,All Ages,60 days,Instagram,0.08,6987.00,4.1,Chicago,Spanish,212,9956,6,Fashionistas,2021-10-18
657,Innovate Industries,Influencer,All Ages,30 days,Instagram,0.06,6760.00,7.9,Los Angeles,Spanish,322,1804,2,Fashionistas,2021-10-19
658,Alpha Innovations,Influencer,Women 25-34,15 days,Website,0.03,13907.00,6.8,Miami,German,563,8425,3,Health & Wellness,2021-10-20
659,DataTech Solutions,Search,Women 35-44,60 days,Facebook,0.12,19441.00,3.9,Houston,English,187,4482,8,Outdoor Adventurers,2021-10-21
660,DataTech Solutions,Social Media,Men 25-34,45 days,Website,0.13,10535.00,2.9,Los Angeles,German,334,9784,5,Foodies,2021-10-22
661,Innovate Industries,Influencer,Men 18-24,30 days,Facebook,0.11,7254.00,5,Chicago,German,302,9367,9,Fashionistas,2021-10-23
662,DataTech Solutions,Email,Men 18-24,15 days,Google Ads,0.05,17392.00,2.4,Houston,French,628,7721,4,Tech Enthusiasts,2021-10-24
663,DataTech Solutions,Influencer,Men 25-34,15 days,Email,0.14,11298.00,5.5,Los Angeles,English,521,8717,1,Outdoor Adventurers,2021-10-25
664,TechCorp,Social Media,Men 18-24,45 days,Google Ads,0.08,11082.00,5.4,Chicago,French,464,3353,3,Foodies,2021-10-26
665,TechCorp,Display,Women 35-44,60 days,Facebook,0.11,18746.00,4.8,New York,English,903,3552,10,Tech Enthusiasts,2021-10-27
666,Innovate Industries,Social Media,All Ages,30 days,YouTube,0.13,13923.00,7.3,Los Angeles,French,176,8629,3,Tech Enthusiasts,2021-10-28
667,TechCorp,Influencer,Women 35-44,30 days,Email,0.1,18157.00,5.3,Miami,French,190,6917,7,Tech Enthusiasts,2021-10-29
668,Innovate Industries,Search,Men 18-24,30 days,Website,0.15,6920.00,7.1,Miami,Mandarin,942,9530,2,Health & Wellness,2021-10-30
669,Alpha Innovations,Influencer,Women 35-44,15 days,Google Ads,0.07,17162.00,7.4,Chicago,Spanish,912,1209,3,Foodies,2021-10-31
670,TechCorp,Email,All Ages,30 days,YouTube,0.11,12918.00,3.8,Miami,French,694,3157,2,Fashionistas,2021-11-01
671,TechCorp,Influencer,Men 18-24,45 days,Facebook,0.03,9323.00,2.1,Los Angeles,French,118,6439,6,Outdoor Adventurers,2021-11-02
672,NexGen Systems,Influencer,Women 25-34,30 days,Email,0.14,9800.00,4.7,Los Angeles,French,448,1895,5,Tech Enthusiasts,2021-11-03
673,TechCorp,Display,Women 25-34,15 days,Facebook,0.15,16870.00,7.8,Chicago,Mandarin,728,1636,2,Tech Enthusiasts,2021-11-04
674,NexGen Systems,Social Media,Women 25-34,30 days,Instagram,0.13,6312.00,4.6,Chicago,Mandarin,208,8837,7,Foodies,2021-11-05
675,Alpha Innovations,Influencer,All Ages,60 days,Facebook,0.14,7239.00,3.2,New York,English,640,3565,1,Health & Wellness,2021-11-06
676,NexGen Systems,Email,Women 35-44,15 days,Email,0.03,19021.00,4.2,Miami,Mandarin,371,9059,9,Outdoor Adventurers,2021-11-07
677,Innovate Industries,Influencer,Women 25-34,15 days,Email,0.05,10549.00,5.7,New York,Spanish,106,7954,9,Tech Enthusiasts,2021-11-08
678,Innovate Industries,Social Media,Men 18-24,30 days,Email,0.02,6813.00,3.6,Chicago,Mandarin,612,2006,6,Outdoor Adventurers,2021-11-09
679,TechCorp,Influencer,All Ages,30 days,Email,0.14,12425.00,4.2,Los Angeles,Mandarin,782,6136,9,Health & Wellness,2021-11-10
680,NexGen Systems,Email,Women 25-34,30 days,Email,0.14,17496.00,2.1,Chicago,Spanish,532,7955,10,Outdoor Adventurers,2021-11-11
681,NexGen Systems,Influencer,Women 25-34,30 days,Website,0.11,8735.00,3.3,Miami,Mandarin,971,7554,5,Fashionistas,2021-11-12
682,Innovate Industries,Social Media,Men 18-24,60 days,Facebook,0.07,8857.00,5.7,Houston,Mandarin,311,8472,2,Tech Enthusiasts,2021-11-13
683,TechCorp,Social Media,Men 18-24,15 days,Google Ads,0.03,12375.00,7.3,Miami,Mandarin,444,7130,9,Tech Enthusiasts,2021-11-14
684,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.04,15892.00,7.2,Los Angeles,Mandarin,729,3777,5,Tech Enthusiasts,2021-11-15
685,NexGen Systems,Search,Women 25-34,60 days,Google Ads,0.02,8066.00,6.6,Houston,Spanish,409,1883,3,Fashionistas,2021-11-16
686,NexGen Systems,Display,Women 35-44,60 days,YouTube,0.1,11101.00,4.9,New York,English,183,3224,6,Fashionistas,2021-11-17
687,DataTech Solutions,Social Media,Men 18-24,15 days,Google Ads,0.11,11263.00,2.9,New York,Mandarin,932,5532,6,Tech Enthusiasts,2021-11-18
688,NexGen Systems,Social Media,Women 35-44,15 days,Google Ads,0.13,17126.00,5.8,Houston,Mandarin,549,6614,8,Foodies,2021-11-19
689,DataTech Solutions,Social Media,Men 18-24,30 days,Google Ads,0.1,19313.00,7.2,Los Angeles,French,280,6300,3,Foodies,2021-11-20
690,NexGen Systems,Search,Women 35-44,30 days,Email,0.07,14499.00,5.6,Los Angeles,German,264,8994,6,Outdoor Adventurers,2021-11-21
691,NexGen Systems,Search,Men 18-24,60 days,Instagram,0.14,12109.00,4.5,Chicago,German,864,3535,6,Outdoor Adventurers,2021-11-22
692,TechCorp,Influencer,Men 25-34,45 days,Website,0.05,12915.00,4.5,Miami,Mandarin,892,9877,9,Foodies,2021-11-23
693,NexGen Systems,Social Media,Men 18-24,45 days,Facebook,0.03,10972.00,2.2,Miami,English,173,6960,2,Outdoor Adventurers,2021-11-24
694,TechCorp,Display,Men 18-24,60 days,Google Ads,0.04,17146.00,4.2,Chicago,English,763,7841,5,Fashionistas,2021-11-25
695,Innovate Industries,Display,Women 25-34,15 days,YouTube,0.11,16826.00,5.4,Los Angeles,English,984,1672,10,Foodies,2021-11-26
696,Innovate Industries,Email,All Ages,30 days,Instagram,0.02,19876.00,2.4,Chicago,Mandarin,866,3988,5,Health & Wellness,2021-11-27
697,DataTech Solutions,Social Media,Women 25-34,30 days,Google Ads,0.11,10029.00,8,New York,English,301,8024,5,Foodies,2021-11-28
